COUNTYA,TRACTA,BLKGRPA,CODE,SDELMA,SDSECA,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,OTHER_2MORE,3MORE,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,>2.00,TOT_INCOME_POP,TOTHOUSE,INCOME,TOT K-5,TOT 6-8,TOT ELEM,TOT SEC,ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,ENROLL_9-12,TOT_ENROLL,NUM_SCHOOLS,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL,NUM_9-12_SCHOOLS
25,100,1,251001,2790,2790,1413,1177,49,0,159,0,8,20,0,20,164,59,135,0,87,35,933,1413,527,40579100,59.49824599,24.58101688,84.07926287,40,0,0,0,0,0,0,0,0,0,0
25,100,2,251002,2790,2790,816,646,18,0,145,0,0,7,0,7,73,70,12,0,90,21,550,816,389,21722900,35.90411396,18.14313151,54.04724546,15,243,120,363,0,363,1,1,1,1,0
25,100,3,251003,2790,2790,478,379,0,0,99,0,0,0,0,0,10,22,15,9,66,0,356,478,205,18036000,9.232486446,9.949459214,19.18194566,15.625,0,0,0,0,0,0,0,0,0,0
25,100,4,251004,2790,2790,913,647,35,0,33,0,172,26,0,26,54,73,0,89,138,0,559,913,291,17545000,33.8524503,23.41049227,57.26294257,28.75,0,0,0,0,0,0,0,0,0,0
25,201,1,252011,2790,2790,702,493,26,0,183,0,0,0,0,0,39,24,9,0,15,0,615,702,263,25599400,43.08493675,20.48418073,63.56911748,23.75,0,0,0,0,0,0,0,0,0,0
25,201,2,252012,2790,2790,1032,907,13,0,94,0,0,18,0,18,85,64,0,34,0,0,849,1032,413,43107300,14.36164558,12.29050844,26.65215402,5,0,0,0,0,0,0,0,0,0,0
25,201,3,252013,2790,2790,1344,926,91,7,121,0,199,0,0,0,138,71,0,52,16,96,971,1344,465,45006600,47.18826406,15.80208228,62.99034634,19.375,0,0,0,0,0,0,0,0,0,0
25,201,4,252014,2790,2790,558,454,54,0,50,0,0,0,0,0,20,36,9,30,11,22,430,558,355,18168800,14.36164558,5.852623067,20.21426865,8.75,87,45,132,128,260,2,1,1,1,1
25,202,1,252021,2790,2790,1844,1060,57,0,390,0,326,11,0,11,184,155,58,16,112,26,1293,1844,647,64132700,44.11076858,23.41049227,67.52126084,23.125,0,0,0,0,0,0,0,0,0,0
25,202,2,252022,2790,2790,632,496,5,0,96,0,35,0,0,0,35,28,0,0,0,0,569,632,305,21160000,21.54246837,8.7789346,30.32140297,14.375,0,0,0,0,0,0,0,0,0,0
