COUNTYA,TRACTA,BLKGRPA,BLOCKA,CODE,SDELMA,SDELMA_2,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,TOT K-5 (Modified),TOT 6-8 (Modified),TOT ELEM (Modified),ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,TOT_ENROLL,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL
25,100,1,1000,251001000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1001,251001001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1002,251001002,1,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1003,251001003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1004,251001004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1005,251001005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1006,251001006,1,1,124,13,58,0,0,0,48,5,22.5683002,8.193672294,30.7619725,0,0,0,0,0,0,0
25,100,1,1007,251001007,1,1,101,81,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1008,251001008,1,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1009,251001009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1010,251001010,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1011,251001011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1012,251001012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1013,251001013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1014,251001014,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1015,251001015,1,1,55,41,1,0,6,0,7,0,1.025831827,1.170524613,2.196356441,0,0,0,0,0,0,0
25,100,1,1016,251001016,1,1,12,12,0,0,0,0,0,0,1.025831827,0,1.025831827,0,0,0,0,0,0,0
25,100,1,1017,251001017,1,1,142,75,11,0,32,0,20,4,1.025831827,1.170524613,2.196356441,0,0,0,0,0,0,0
25,100,1,1018,251001018,1,1,84,32,14,0,12,0,23,3,4.103327309,1.75578692,5.859114229,0,0,0,0,0,0,0
25,100,1,1019,251001019,1,1,185,108,14,0,32,0,24,7,2.051663655,1.75578692,3.807450575,0,0,0,0,0,0,0
25,100,1,1020,251001020,1,1,23,4,1,0,12,0,4,2,2.051663655,0.585262307,2.636925961,0,0,0,0,0,0,0
25,100,1,1021,251001021,1,1,54,40,1,0,5,0,7,1,1.025831827,1.170524613,2.196356441,0,0,0,0,0,0,0
25,100,1,1022,251001022,1,1,73,36,5,1,12,0,16,3,1.025831827,0,1.025831827,0,0,0,0,0,0,0
25,100,1,1023,251001023,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
25,100,1,1024,251001024,1,1,159,103,6,1,17,0,28,4,5.129159137,2.341049227,7.470208364,0,0,0,0,0,0,0
25,100,1,1025,251001025,1,1,23,16,0,0,6,0,0,1,0,1.170524613,1.170524613,0,0,0,0,0,0,0
25,100,1,1026,251001026,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1027,251001027,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1028,251001028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1029,251001029,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1030,251001030,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1031,251001031,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1032,251001032,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1033,251001033,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1034,251001034,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1035,251001035,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1036,251001036,1,1,47,32,0,0,3,0,10,2,0,1.170524613,1.170524613,0,0,0,0,0,0,0
25,100,1,1037,251001037,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1038,251001038,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1039,251001039,1,1,209,100,9,1,31,0,38,30,17.43914107,3.51157384,20.95071491,0,0,0,0,0,0,0
25,100,1,1040,251001040,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1041,251001041,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1042,251001042,1,1,24,20,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1043,251001043,1,1,55,27,6,0,8,0,7,7,1.025831827,0.585262307,1.611094134,0,0,0,0,0,0,0
25,100,1,1044,251001044,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1045,251001045,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1046,251001046,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1047,251001047,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1048,251001048,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1049,251001049,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,1,1050,251001050,1,1,35,27,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0
25,100,2,2000,251002000,1,1,255,179,11,0,24,0,28,13,12.30998193,4.096836147,16.40681808,0,0,0,0,0,0,0
25,100,2,2001,251002001,1,1,257,195,6,0,24,0,19,13,5.129159137,2.926311533,8.05547067,0,0,0,0,0,0,0
25,100,2,2002,251002002,1,1,86,60,6,0,10,0,7,3,3.077495482,4.096836147,7.174331629,0,0,0,0,0,0,0
25,100,2,2003,251002003,1,1,41,38,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
25,100,2,2004,251002004,1,1,92,69,1,0,17,0,3,2,1.025831827,0.585262307,1.611094134,243,120,363,363,1,1,1
25,100,2,2005,251002005,1,1,146,69,7,0,48,0,12,10,7.180822792,1.75578692,8.936609712,0,0,0,0,0,0,0
25,100,2,2006,251002006,1,1,61,45,4,0,4,0,0,8,3.077495482,0,3.077495482,0,0,0,0,0,0,0
25,100,2,2007,251002007,1,1,106,82,9,1,8,0,5,1,4.103327309,4.682098453,8.785425763,0,0,0,0,0,0,0
25,100,3,3000,251003000,1,1,123,95,10,0,13,0,1,4,0,0.585262307,0.585262307,0,0,0,0,0,0,0
25,100,3,3001,251003001,1,1,124,88,23,0,9,0,0,4,0,4.096836147,4.096836147,0,0,0,0,0,0,0
25,100,3,3002,251003002,1,1,57,44,1,0,3,0,8,1,0,1.170524613,1.170524613,0,0,0,0,0,0,0
25,100,3,3003,251003003,1,1,147,114,8,0,2,0,14,9,1.025831827,1.170524613,2.196356441,0,0,0,0,0,0,0
25,100,3,3004,251003004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,100,3,3005,251003005,1,1,74,64,7,0,3,0,0,0,1.025831827,0.585262307,1.611094134,0,0,0,0,0,0,0
25,100,3,3006,251003006,1,1,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,100,3,3007,251003007,1,1,55,33,1,0,15,0,5,1,0,0.585262307,0.585262307,0,0,0,0,0,0,0
25,100,3,3008,251003008,1,1,53,50,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
25,100,3,3009,251003009,1,1,75,68,2,0,3,0,0,2,4.103327309,1.75578692,5.859114229,0,0,0,0,0,0,0
25,100,3,3010,251003010,1,1,73,62,4,0,7,0,0,0,3.077495482,0,3.077495482,0,0,0,0,0,0,0
25,100,4,4000,251004000,1,1,82,49,16,1,6,0,3,7,1.025831827,1.75578692,2.781618747,0,0,0,0,0,0,0
25,100,4,4001,251004001,1,1,44,31,3,0,9,0,1,0,0,0.585262307,0.585262307,0,0,0,0,0,0,0
25,100,4,4002,251004002,1,1,208,144,15,0,11,0,21,17,5.129159137,4.682098453,9.81125759,0,0,0,0,0,0,0
25,100,4,4003,251004003,1,1,66,38,0,0,3,0,13,12,2.051663655,1.75578692,3.807450575,0,0,0,0,0,0,0
25,100,4,4004,251004004,1,1,49,41,2,1,5,0,0,0,1.025831827,0,1.025831827,0,0,0,0,0,0,0
25,100,4,4005,251004005,1,1,357,159,22,0,26,0,123,27,15.38747741,9.364196907,24.75167432,0,0,0,0,0,0,0
25,100,4,4006,251004006,1,1,36,14,0,0,19,0,0,3,3.077495482,0.585262307,3.662757789,0,0,0,0,0,0,0
25,100,4,4007,251004007,1,1,80,66,1,0,0,0,13,0,3.077495482,2.341049227,5.418544709,0,0,0,0,0,0,0
25,100,4,4008,251004008,1,1,73,58,9,0,2,0,1,3,3.077495482,2.341049227,5.418544709,0,0,0,0,0,0,0
25,100,4,4009,251004009,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,201,1,1000,252011000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,201,1,1001,252011001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,201,1,1002,252011002,1,1,102,23,46,3,0,0,21,9,18.46497289,10.53472152,28.99969441,0,0,0,0,0,0,0
25,201,1,1003,252011003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,201,1,1004,252011004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,201,1,1005,252011005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,201,1,1006,252011006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,201,1,1007,252011007,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,201,1,1008,252011008,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,201,1,1009,252011009,1,1,15,15,0,0,0,0,0,0,1.025831827,0,1.025831827,0,0,0,0,0,0,0
25,201,1,1010,252011010,1,1,96,68,10,0,10,0,3,5,4.103327309,2.341049227,6.444376536,0,0,0,0,0,0,0
25,201,1,1011,252011011,1,1,110,95,0,0,14,0,1,0,2.051663655,1.75578692,3.807450575,0,0,0,0,0,0,0
25,201,1,1012,252011012,1,1,140,102,10,0,18,0,8,2,3.077495482,1.75578692,4.833282402,0,0,0,0,0,0,0
25,201,1,1013,252011013,1,1,72,59,2,0,9,0,0,2,4.103327309,2.341049227,6.444376536,0,0,0,0,0,0,0
