COUNTYA,COUSUBA,SCHOOL_NAME,ZCTA,K,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,Total
13,16775,Agawam Early Childhood Center,01001,75,82,80,79,61,80,81,78,80,86,71,79,69,1001
13,16775,Agawam High,01001,0,0,0,0,0,0,0,0,0,252,260,231,244,987
13,16775,Benjamin J Phelps,01001,0,0,0,0,0,0,0,0,0,231,258,253,256,998
13,16775,James Clark School,01001,0,0,0,0,0,0,0,480,514,0,0,0,0,994
13,16775,Roberta G. Doering School,01001,0,0,0,0,0,0,0,0,0,256,255,247,236,994
13,16775,Robinson Park,01001,0,0,0,0,0,0,330,328,339,0,0,0,0,997
1,29020,AMHERST MONTESSORI SCHOOL,01002,39,39,40,51,33,40,48,0,0,0,0,0,0,290
15,29020,Amherst Regional High,01002,0,121,180,207,218,0,0,0,0,0,0,0,0,726
15,29020,Amherst Regional Middle School,01002,116,104,109,107,124,126,0,0,0,0,0,0,0,686
15,29020,Crocker Farm Elementary,01002,110,127,103,111,105,102,0,0,0,0,0,0,0,658
15,29020,Fort River Elementary,01002,0,0,0,0,0,0,0,353,375,0,0,0,0,728
15,80510,Pelham Elementary,01002,0,0,0,0,0,1,0,2,3,2,6,4,6,24
15,29020,Wildwood Elementary,01002,0,0,0,0,0,0,0,121,142,104,137,105,119,728
1,29020,THE COMMON,01004,44,52,46,53,52,44,0,0,0,0,0,0,0,291
27,25172,Quabbin Regional High School,01005,70,82,77,76,70,95,0,0,0,0,0,0,0,470
27,25172,Quabbin Regional Middle School,01005,0,0,0,0,0,0,0,270,260,0,0,0,0,530
27,25172,Ruggles Lane,01005,0,0,0,99,90,86,0,0,0,0,0,0,0,275
27,75015,SEVEN HILLS/STETSON SCHOOL,01005,0,4,2,3,2,2,2,2,3,0,0,0,0,20
15,28180,Belchertown High,01007,0,0,0,0,0,0,0,0,0,168,178,192,183,721
15,28180,Chestnut Hill Community School,01007,81,79,81,91,89,93,79,43,27,0,0,0,0,663
15,28180,Jabish Middle School,01007,105,111,106,91,105,87,116,0,0,0,0,0,0,721
15,28180,Swift River Elementary,01007,0,0,0,0,0,0,0,0,0,258,172,148,144,722
13,73335,Brimfield Elementary,01010,0,0,0,0,0,0,0,0,0,221,242,244,274,981
15,60015,Chester Elementary,01011,0,0,0,0,0,0,0,27,33,79,86,89,98,412
15,56060,New Hingham Regional Elementary,01012,43,37,37,44,43,49,51,51,44,0,0,0,0,399
13,56375,Bowe,01013,0,0,0,0,0,0,0,0,7,50,43,66,60,226
13,56375,Dupont Middle,01013,0,0,0,0,0,0,0,0,0,464,459,429,464,1816
13,56375,Gen John J Stefanik,01013,0,0,0,0,0,0,0,4,2,5,8,3,4,26
15,,Paulo Freire Social Justice Charter School,01013,84,84,77,72,71,62,0,0,0,0,0,0,0,450
13,56375,Szetela Early Childhood Center,01013,0,0,0,0,0,0,0,0,0,244,229,253,254,980
5,56375,VALLEY WEST SCHOOL,01013,8,7,8,9,8,8,9,0,0,0,0,0,0,57
13,56375,Barry,01020,0,0,0,0,0,0,351,324,304,0,0,0,0,979
13,56375,Belcher,01020,26,30,29,25,22,25,20,27,25,0,0,0,0,229
13,56375,Bellamy Middle,01020,0,0,0,0,0,0,0,0,0,422,439,428,426,1715
13,56375,Chicopee Academy,01020,29,23,16,18,16,16,16,14,13,0,0,0,0,161
13,56375,Chicopee Comprehensive High School,01020,0,0,0,0,0,0,0,0,0,506,426,479,396,1807
13,56375,Chicopee High,01020,0,0,0,0,0,0,0,0,0,470,463,427,449,1809
13,56375,Fairview Elementary,01020,10,9,12,4,5,5,4,4,2,0,0,0,0,55
13,56375,Lambert-Lavoie,01020,17,14,14,15,20,15,14,16,15,0,0,0,0,140
13,56375,Litwin,01020,18,19,15,17,18,17,14,14,18,0,0,0,0,150
5,56375,ST JOAN OF ARC,01020,0,0,0,0,14,16,16,11,11,0,0,0,0,68
13,56375,Streiber Memorial School,01020,5,7,4,3,6,3,4,2,2,1,2,0,3,42
13,56375,Bowie,01022,27,20,9,22,17,22,26,28,18,0,0,0,0,189
13,,Hampden Charter School of Science East,01022,26,14,24,20,22,24,28,19,16,0,0,0,0,193
15,37490,Easthampton High,01027,74,86,78,93,82,98,0,0,0,0,0,0,0,511
15,29650,Hampshire Regional High,01027,76,92,92,0,0,0,0,0,0,0,0,0,0,260
15,,Hilltown Cooperative Charter Public School,01027,23,16,22,28,14,23,30,16,14,0,0,0,0,186
15,37490,Maple,01027,92,104,88,127,96,99,0,0,0,0,0,0,0,606
15,37490,Neil A Pepin,01027,42,44,42,23,39,22,17,0,0,0,0,0,0,229
15,55395,Westhampton Elementary School,01027,0,0,0,0,0,0,0,0,0,169,170,178,199,716
15,37490,White Brook Middle School,01027,0,0,0,0,0,0,220,255,245,0,0,0,0,720
9,37490,WILLISTON NORTHAMPTON,01027,51,58,40,50,53,59,0,0,0,0,0,0,0,311
13,32310,Birchland Park,01028,0,0,0,0,0,0,0,33,38,39,37,30,36,213
13,32310,East Longmeadow High,01028,2,1,3,2,1,0,1,2,287,287,276,244,243,1349
13,32310,Mapleshade,01028,0,0,0,0,0,0,0,0,406,332,338,367,351,1794
13,32310,Meadow Brook,01028,0,0,0,0,0,0,0,0,0,481,525,385,392,1783
13,32310,Mountain View,01028,0,0,0,0,0,0,0,286,269,343,283,336,256,1773
13,16775,Agawam Junior High,01030,0,0,0,0,0,0,0,0,0,230,286,252,219,987
13,16775,Clifford M Granger,01030,0,0,0,0,0,0,356,307,336,0,0,0,0,999
27,25172,Hardwick Elementary,01031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,68645,ST. ALOYSIUS CATHOLIC SCHOOL,01031,0,0,0,0,0,0,0,0,0,123,135,111,112,481
15,9595,East Meadow,01033,15,7,6,3,0,0,0,0,0,0,0,0,0,31
15,9595,Granby Jr Sr High School,01033,50,29,49,61,51,66,0,0,0,0,0,0,0,306
11,9595,THE MACDUFFIE SCHOOL,01033,36,35,56,39,42,60,0,0,0,0,0,0,0,268
15,25730,Hadley Elementary,01035,54,64,63,68,57,0,0,0,0,0,0,0,0,306
11,25730,HARTSBROOK SCHOOL,01035,0,123,140,129,125,0,0,0,0,0,0,0,0,517
15,25730,Hopkins Academy,01035,32,50,44,44,45,0,0,0,0,0,0,0,0,215
15,,Pioneer Valley Chinese Immersion Charter School,01035,93,86,98,90,83,0,0,0,0,0,0,0,0,450
13,29650,Green Meadows Elementary,01036,38,37,36,39,45,0,0,0,0,0,0,0,0,195
15,51265,Hatfield Elementary,01038,0,0,0,0,0,0,83,105,116,0,0,0,0,304
15,51265,Smith Academy,01038,53,50,47,55,49,50,0,0,0,0,0,0,0,304
13,8470,BLESSED SACRAMENT,01040,1,2,4,8,8,7,7,9,12,8,11,19,20,116
13,8470,E N White Elementary,01040,229,0,0,0,0,0,0,0,0,0,0,0,0,229
13,8470,EXPERIMENT WITH TRAVEL SCHOOL,01040,0,0,0,0,0,0,79,75,77,65,53,60,54,463
13,8470,FIRST LUTHERAN,01040,11,9,5,9,2,1,0,0,0,0,0,0,0,37
13,54415,Gateway to College at Holyoke Community College,01040,0,0,0,0,0,173,135,147,125,0,0,0,0,580
13,8470,H.B. Lawrence School,01040,62,59,52,43,55,46,0,0,0,0,0,0,0,317
13,,Holyoke Community Charter School,01040,0,82,87,96,98,99,0,0,0,0,0,0,0,462
13,8470,Holyoke High,01040,5,7,17,5,17,17,17,19,14,18,10,12,35,193
13,8470,Holyoke STEM Academy,01040,22,27,28,26,29,19,31,25,31,0,0,0,0,238
13,8470,Joseph Metcalf School,01040,0,0,0,0,0,0,0,0,0,41,58,39,55,193
13,8470,Kelly Elementary,01040,41,54,54,61,74,74,0,0,0,0,0,0,0,358
13,8470,Lt Clayre Sullivan Elementary,01040,27,37,33,32,38,42,57,40,44,0,0,0,0,350
13,8470,Lt Elmer J McMahon Elementary,01040,0,0,0,0,0,0,0,0,0,329,348,371,364,1412
13,8470,MATER DOLOROSA,01040,6,6,8,6,5,6,9,7,2,0,0,0,0,55
13,8470,Maurice A Donahue Elementary,01040,54,54,63,57,69,60,0,0,0,0,0,0,0,357
