COUNTYA,TRACTA,BLKGRPA,CODE,SDELMA,SDSECA,SDELMA_2,SDSECA_2,TOTPOP,WHITE,BLACK,AMIN,ASIAN,NHPI,OTHER,2MORE,OTHER_2MORE,3MORE,<.50,.50-.99,1.00-1.24,1.25-1.49,1.50-1.84,1.85-1.99,>2.00,TOT_INCOME_POP,TOTHOUSE,INCOME,TOT K-5,TOT 6-8,TOT ELEM,TOT SEC,ENROLL_K-5,ENROLL_6-8,ENROLL_K-8,ENROLL_9-12,TOT_ENROLL,NUM_SCHOOLS,NUM_K-5_,NUM_6-8_SCHOOL,NUM_K-8_SCHOOL,NUM_9-12_SCHOOLS
1,10100,1,1101001,9840,9840,153,153,860,803,0,0,0,0,0,57,0,57,0,110,39,81,54,59,517,860,563,46423800,16.41330924,7.608409987,24.02171922,6.875,0,0,0,0,0,0,0,0,0,0
1,10100,2,1101002,9840,9840,153,153,367,367,0,0,0,0,0,0,0,0,14,13,12,41,17,37,233,367,216,11266300,15.38747741,8.193672294,23.5811497,8.75,0,0,0,0,0,0,0,0,0,0
1,10100,3,1101003,9840,9840,153,153,741,741,0,0,0,0,0,0,0,0,0,32,33,95,28,41,512,741,464,24630300,8.206654619,2.926311533,11.13296615,9.375,0,0,0,0,0,0,0,0,0,0
1,10100,4,1101004,9840,9840,153,153,729,704,25,0,0,0,0,0,0,0,43,12,55,13,0,107,441,671,421,25642300,11.2841501,7.608409987,18.89256009,5,69,42,111,0,111,1,1,1,1,0
1,10100,5,1101005,9840,9840,153,153,342,342,0,0,0,0,0,0,0,0,12,26,0,0,14,31,259,342,245,12609900,3.077495482,4.682098453,7.759593936,7.5,0,0,0,0,0,0,0,0,0,0
1,10206,1,1102061,12300,4560,218,309,541,495,0,0,0,0,14,32,0,32,0,44,0,0,43,0,454,541,290,16704200,27.69745934,21.06944304,48.76690238,15,0,0,0,0,0,0,0,0,0,0
1,10206,2,1102062,12300,4560,218,309,1312,1312,0,0,0,0,0,0,0,0,0,36,0,28,0,0,1248,1312,674,72546600,29.74912299,19.31365612,49.06277911,16.875,0,0,0,0,0,0,0,0,0,0
1,10206,3,1102063,12300,4560,218,309,1093,1074,0,0,0,0,0,19,0,19,0,45,62,19,61,0,906,1093,687,50002500,46.16243223,26.92206611,73.08449834,27.5,106,0,106,0,106,1,1,0,1,0
1,10208,1,1102081,11730,25012,220,285,571,553,0,18,0,0,0,0,0,0,95,21,0,0,21,0,434,571,299,24268800,28.72329117,21.06944304,49.79273421,20,0,0,0,0,0,0,0,0,0,0
1,10208,2,1102082,11730,25012,220,285,718,718,0,0,0,0,0,0,0,0,0,14,52,7,22,30,593,718,317,20286600,24.61996386,7.608409987,32.22837384,13.75,0,0,0,0,0,0,0,0,0,0
1,10208,3,1102083,11730,25012,220,285,542,542,0,0,0,0,0,0,0,0,0,24,0,0,0,0,518,542,264,27848900,28.72329117,12.87577075,41.59906191,18.75,0,0,0,0,0,0,0,0,0,0
1,10304,1,1103041,4530,4560,262,309,979,881,0,0,98,0,0,0,0,0,0,0,35,12,13,0,919,979,492,39187300,38.98160944,18.72839381,57.71000325,16.25,0,0,0,0,0,0,0,0,0,0
1,10304,2,1103042,4530,4560,262,309,733,733,0,0,0,0,0,0,0,0,0,46,0,12,8,13,654,733,355,22566500,21.54246837,16.97260689,38.51507527,15.625,0,0,0,0,0,0,0,0,0,0
1,10304,3,1103043,4530,4560,262,309,810,810,0,0,0,0,0,0,0,0,67,12,0,35,0,0,696,810,398,32903900,22.5683002,17.5578692,40.1261694,18.75,0,0,0,0,0,0,0,0,0,0
1,10306,1,1103061,4530,4560,262,309,844,821,0,0,23,0,0,0,0,0,0,0,34,0,70,76,664,844,412,32539000,36.92994579,18.72839381,55.6583396,22.5,0,0,0,0,0,0,0,0,0,0
